id_1,spv,sr1995,sr1996,sr1997,sr1998,sr1999,sr2000,su1995,su1996,su1997,su1998,su1999,su2000,fdi1995,fdi1996,fdi1997,fdi1998,fdi1999,land1995,land1996,land1997,land1998,land1999,rural_incpc1995,rural_incpc1996,rural_incpc1997,rural_incpc1998,rural_incpc1999,urban_incpc1995,urban_incpc1996,urban_incpc1997,urban_incpc1998,urban_incpc1999
2,1,834,822,820,806,772,723,13,80,152,271,538,1017,287.9,354.5,414.4,495.1,578,152.1,152.7,140.2,136.9,160.3,3208,3563,3762,4029,4316,5868,6885,7813,8472,9183
28,2,829,819,817,807,791,759,4,22,55,77,131,221,104.1,154.7,214.8,270.1,321.2,317.7,275.4,271.3,277,272.6,2531,3142,3548,3890,4055,4930,5968,6609,7111,7650
10,3,17112,17212,17302,17444,17219,16694,4,28,61,118,242,453,49.2,76.7,107.7,141,165.4,5198.5,5243.9,5305,5351.1,5388.2,1669,2055,2286,2405,2442,3674,4430,4959,5085,5365
26,4,6980,6997,6991,7028,6932,6822,5,31,73,106,204,370,7.3,12.3,22,30,43.3,2954.6,2630.8,2834.5,2957.6,2886.9,1208,1557,1738,1859,1773,3306,3703,3990,4099,4343
19,5,4317,4343,4380,4412,4351,4242,5,32,66,116,192,340,10.1,11,12.8,14.6,16.3,4309.2,6145.7,3952.6,4182.2,4446.4,1300,1602,1780,1982,2003,2846,3432,3945,4353,4771
18,6,6681,6671,6654,6652,6481,6264,7,43,75,128,245,459,66.8,84.4,107.2,127.5,143.8,2373.1,2579.3,2653.9,2650.6,2675.9,1757,2150,2302,2580,2501,3691,4207,4518,4617,4899
17,7,4728,4747,4705,4714,4628,4509,2,14,37,56,83,124,55.4,73.3,88.3,92.5,92.6,3521.5,2975.6,2901.8,2884.8,3111.9,1610,2126,2186,2384,2261,3175,3806,4191,4207,4480
11,8,5707,5792,5781,5839,5718,5617,5,26,57,101,182,251,37.3,48.1,61.8,71.1,78.6,4720.5,4939.1,5648.5,7443.2,7553.8,1766,2182,2308,2253,2166,3375,3768,4091,4269,4595
25,9,582,564,543,521,484,456,24,108,203,394,760,1253,349.9,471.5,583.3,647.8,688.6,239.6,231.5,249.8,216.5,275.6,4246,4846,5277,5407,5481,7172,8159,8439,8773,10932
15,10,14440,14328,14103,13869,13225,12348,22,142,291,522,972,1744,346.5,448.6,561,688.2,799.4,3632.6,3475.7,3438,3419.9,3441.1,2457,3029,3270,3377,3495,4634,5186,5765,6018,6538
32,11,9248,9083,8815,8541,7999,7313,37,163,346,690,1419,2975,81.3,107.2,130.2,147.7,168.9,1908.3,1970.2,1889.6,1886.9,1923,2966,3463,3684,3815,3948,6221,6956,7359,7837,8428
